isbn,titulo,autor,año_publicacion
978-0-13-079650-9,Ad quo perspiciatis veritatis,Ursula Juan Carlos Méndez,2018
978-0-609-15622-3,Nemo pariatur,Sr(a). Gabriela Leal,2016
978-0-13-079650-9,Animi et facilis dolorem,Amelia Cano Bañuelos,2008
978-0-609-15622-3,Ad quo perspiciatis veritatis,Ursula Juan Carlos Méndez,2018
978-0-13-079650-9,Nemo pariatur,Sr(a). Gabriela Leal,2016
978-0-609-15622-3,Animi et facilis dolorem,Amelia Cano Bañuelos,2008
978-0-13-079650-9,Ad quo perspiciatis veritatis,Ursula Juan Carlos Méndez,2018
978-0-609-15622-3,Nemo pariatur,Sr(a). Gabriela Leal,2016
978-0-13-079650-9,Animi et facilis dolorem,Amelia Cano Bañuelos,2008
978-0-609-15622-3,Ad quo perspiciatis veritatis,Ursula Juan Carlos Méndez,2018 
